indexInDoc	token	ssplit	posTag
1	Abstract	--	??
2	Based	--	VB
3	on	--	OO
4	the	--	OO
5	concept	--	NN
6	of	--	OO
7	DNA	--	NN
8	strand	--	NN
9	displacement	--	NN
10	and	--	OO
11	DNA	--	NN
12	strand	--	NN
13	algebra	--	NN
14	we	--	NN
15	have	--	VB
16	developed	--	VB
17	a	--	OO
18	method	--	NN
19	for	--	OO
20	logical	--	JJ
21	inference	--	NN
22	which	--	OO
23	is	--	VB
24	not	--	RB
25	based	--	VB
26	on	--	OO
27	silicon	--	NN
28	based	--	VB
29	computing	SPLIT	NN
30	Essentially	--	RB
31	it	--	NN
32	is	--	VB
33	a	--	OO
34	paradigm	--	NN
35	shift	--	NN
36	from	--	OO
37	silicon	--	NN
38	to	--	OO
39	carbon	SPLIT	NN
40	In	--	OO
41	this	--	OO
42	paper	--	NN
43	we	--	NN
44	have	--	VB
45	considered	--	VB
46	the	--	OO
47	inference	--	NN
48	mechanism	--	NN
49	viz	SPLIT	NN
50	modus	--	NN
51	ponens	--	NN
52	to	--	OO
53	draw	--	VB
54	conclusion	--	NN
55	from	--	OO
56	any	--	OO
57	observed	--	VB
58	fact	SPLIT	NN
59	Thus	--	RB
60	the	--	OO
61	present	--	JJ
62	approach	--	NN
63	to	--	OO
64	logical	--	JJ
65	inference	--	NN
66	based	--	VB
67	on	--	OO
68	DNA	--	NN
69	strand	--	NN
70	algebra	--	NN
71	is	--	VB
72	basically	--	RB
73	an	--	OO
74	attempt	--	NN
75	to	--	OO
76	develop	--	VB
77	expert	--	JJ
78	system	--	NN
79	design	--	NN
80	in	--	OO
81	the	--	OO
82	domain	--	NN
83	of	--	OO
84	DNA	--	NN
85	computing	SPLIT	NN
86	We	--	NN
87	have	--	VB
88	illustrated	--	VB
89	our	--	JJ
90	methodology	--	NN
91	with	--	OO
92	respect	--	NN
93	to	--	OO
94	worked	--	VB
95	out	--	OO
96	example	SPLIT	NN
97	Our	--	JJ
98	methodology	--	NN
99	is	--	VB
100	very	--	RB
101	flexible	--	JJ
102	for	--	OO
103	implementation	--	NN
104	of	--	OO
105	different	--	JJ
106	expert	--	NN
107	system	--	NN
108	applications	SPLIT	NN
109	Keywords	--	NN
110	logical	--	JJ
