indexInText	indexInSentence	sentenceNumber	token	posTag
1	1	1	﻿Recently	RB
2	2	1	the	OO
3	3	1	proof	NN
4	4	1	of	OO
5	5	1	factorization	NN
6	6	1	in	OO
7	7	1	heavy	JJ
8	8	1	quarkonium	NN
9	9	1	production	NN
10	10	1	in	OO
11	11	1	NRQCD	NN
12	12	1	color	NN
13	13	1	octet	NN
14	14	1	mechanism	NN
15	15	1	is	VB
16	16	1	given	VB
17	17	1	at	OO
18	18	1	next-to-next-to-leading	JJ
19	19	1	order	NN
20	20	1	(	OO
21	21	1	NNLO	NN
22	22	1	)	OO
23	23	1	in	OO
24	24	1	coupling	VB
25	25	1	constant	JJ
26	26	1	by	OO
27	27	1	using	VB
28	28	1	diagrammatic	JJ
29	29	1	method	NN
30	30	1	of	OO
31	31	1	QCD.	NN
32	1	2	In	OO
33	2	2	this	OO
34	3	2	paper	NN
35	4	2	we	NN
36	5	2	prove	VB
37	6	2	factorization	NN
38	7	2	in	OO
39	8	2	heavy	JJ
40	9	2	quarkonium	NN
41	10	2	production	NN
42	11	2	in	OO
43	12	2	NRQCD	NN
44	13	2	color	NN
45	14	2	octet	NN
46	15	2	mechanism	NN
47	16	2	at	OO
48	17	2	all	OO
49	18	2	order	NN
50	19	2	in	OO
51	20	2	coupling	VB
52	21	2	constant	JJ
53	22	2	by	OO
54	23	2	using	VB
55	24	2	path	NN
56	25	2	integral	JJ
57	26	2	method	NN
58	27	2	of	OO
59	28	2	QCD.	NN
60	1	3	Our	JJ
61	2	3	proof	NN
62	3	3	is	VB
63	4	3	valid	JJ
64	5	3	to	OO
65	6	3	all	OO
66	7	3	powers	NN
67	8	3	in	OO
68	9	3	the	OO
69	10	3	heavy	JJ
70	11	3	quark	NN
71	12	3	relative	JJ
72	13	3	velocity	NN
73	14	3	.	OO
74	1	4	We	NN
75	2	4	find	VB
76	3	4	that	OO
77	4	4	the	OO
78	5	4	gauge	NN
79	6	4	invariance	NN
80	7	4	and	OO
81	8	4	the	OO
82	9	4	factorization	NN
83	10	4	at	OO
84	11	4	all	OO
85	12	4	order	NN
86	13	4	in	OO
87	14	4	coupling	NN
88	15	4	constant	JJ
89	16	4	require	VB
90	17	4	gauge-completed	JJ
91	18	4	non-perturbative	JJ
92	19	4	NRQCD	NN
93	20	4	matrix	NN
94	21	4	elements	NN
95	22	4	that	OO
96	23	4	were	VB
97	24	4	introduced	VB
98	25	4	previously	RB
99	26	4	to	OO
100	27	4	prove	VB
101	28	4	factorization	NN
102	29	4	at	OO
103	30	4	NNLO	NN
104	31	4	.	OO
105	32	4	INTRODUCTION	NN
106	33	4	In	OO
107	34	4	the	OO
108	35	4	last	JJ
109	36	4	two	OO
110	37	4	decades	NN
111	38	4	,	OO
112	39	4	the	OO
113	40	4	NRQCD	NN
114	41	4	color	NN
115	42	4	octet	NN
116	43	4	mechanism	NN
117	44	4	[1	OO
118	45	4	]	NN
119	46	4	for	OO
120	47	4	heavy	JJ
121	48	4	quarkonium	NN
122	49	4	production	NN
123	50	4	has	VB
124	51	4	been	VB
125	52	4	very	RB
126	53	4	successful	JJ
127	54	4	in	OO
128	55	4	explaining	VB
129	56	4	experimental	JJ
130	57	4	data	NN
131	58	4	at	OO
132	59	4	high	JJ
133	60	4	energy	NN
134	61	4	colliders	NN
135	62	4	such	JJ
136	63	4	as	OO
137	64	4	at	OO
138	65	4	Tevatron	NN
139	66	4	[2	OO
140	67	4	]	OO
141	68	4	and	OO
142	69	4	at	OO
143	70	4	LHC	NN
144	71	4	[3]	NN
145	72	4	.	OO
146	1	5	In	OO
147	2	5	its	JJ
148	3	5	original	JJ
149	4	5	formulation	NN
150	5	5	[1	OO
151	6	5	]	OO
152	7	5	the	OO
153	8	5	proof	NN
154	9	5	of	OO
155	10	5	factorization	NN
156	11	5	in	OO
157	12	5	heavy	JJ
158	13	5	quarkonium	NN
159	14	5	production	NN
160	15	5	in	OO
161	16	5	NRQCD	NN
162	17	5	color	NN
163	18	5	octet	NN
164	19	5	mechanism	NN
165	20	5	was	VB
166	21	5	lacking	VB
167	22	5	.	OO
168	1	6	The	OO
169	2	6	proof	NN
170	3	6	of	OO
171	4	6	factorization	NN
172	5	6	is	VB
173	6	6	an	OO
174	7	6	essential	JJ
175	8	6	requirement	NN
176	9	6	to	OO
177	10	6	study	VB
178	11	6	heavy	JJ
179	12	6	quarkonium	NN
180	13	6	production	NN
181	14	6	at	OO
182	15	6	high	JJ
183	16	6	energy	NN
184	17	6	colliders	NN
185	18	6	.	OO
186	1	7	Factorization	NN
187	2	7	refers	VB
188	3	7	to	OO
189	4	7	separation	NN
190	5	7	of	OO
191	6	7	short-distance	JJ
192	7	7	effects	NN
193	8	7	from	OO
194	9	7	long-distance	JJ
195	10	7	effects	NN
196	11	7	in	OO
197	12	7	quantum	NN
198	13	7	field	NN
199	14	7	theory	NN
200	15	7	.	OO
201	1	8	Recently	RB
202	2	8	the	OO
203	3	8	proof	NN
204	4	8	of	OO
205	5	8	factorization	NN
206	6	8	in	OO
207	7	8	heavy	JJ
208	8	8	quarkonium	NN
209	9	8	production	NN
210	10	8	in	OO
211	11	8	NRQCD	NN
212	12	8	color	NN
213	13	8	octet	NN
214	14	8	mechanism	NN
215	15	8	is	VB
216	16	8	given	VB
217	17	8	at	OO
218	18	8	next-to-next	JJ
219	19	8	to	OO
220	20	8	leading	VB
221	21	8	order	NN
222	22	8	(	OO
223	23	8	NLLO	NN
224	24	8	)	OO
225	25	8	in	OO
226	26	8	coupling	VB
227	27	8	constant	JJ
228	28	8	by	OO
229	29	8	using	VB
230	30	8	diagrammatic	JJ
231	31	8	method	NN
232	32	8	of	OO
233	33	8	QCD	NN
234	34	8	[4]	NN
235	35	8	.	OO
236	1	9	However	RB
237	2	9	,	OO
238	3	9	the	OO
239	4	9	proof	NN
240	5	9	of	OO
241	6	9	factorization	NN
242	7	9	in	OO
243	8	9	heavy	JJ
244	9	9	quarkonium	NN
245	10	9	production	NN
246	11	9	in	OO
247	12	9	NRQCD	NN
248	13	9	color	NN
249	14	9	octet	NN
250	15	9	mechanism	NN
251	16	9	at	OO
252	17	9	all	OO
253	18	9	order	NN
254	19	9	in	OO
255	20	9	coupling	VB
256	21	9	constant	JJ
257	22	9	is	VB
258	23	9	still	RB
259	24	9	missing	VB
260	25	9	.	OO
261	1	10	In	OO
262	2	10	this	OO
263	3	10	paper	NN
264	4	10	we	NN
265	5	10	will	VB
266	6	10	prove	VB
267	7	10	factorization	NN
268	8	10	in	OO
269	9	10	heavy	JJ
270	10	10	quarkonium	NN
271	11	10	production	NN
272	12	10	in	OO
273	13	10	NRQCD	NN
274	14	10	color	NN
275	15	10	octet	NN
276	16	10	mechanism	NN
