indexInText	indexInSentence	sentenceNumber	token	posTag
1	1	1	﻿One	JJ
2	2	1	morning	NN
3	3	1	,	OO
4	4	1	when	RB
5	5	1	Gregor	NN
6	6	1	Samsa	NN
7	7	1	woke	VB
8	8	1	from	OO
9	9	1	troubled	JJ
10	10	1	dreams	NN
11	11	1	,	OO
12	12	1	he	NN
13	13	1	found	VB
14	14	1	himself	NN
15	15	1	transformed	VB
16	16	1	in	OO
17	17	1	his	JJ
18	18	1	bed	NN
19	19	1	into	OO
20	20	1	a	OO
21	21	1	horrible	JJ
22	22	1	vermin	NN
23	23	1	.	OO
24	1	2	He	NN
25	2	2	lay	VB
26	3	2	on	OO
27	4	2	his	JJ
28	5	2	armour-like	JJ
29	6	2	back	NN
30	7	2	,	OO
31	8	2	and	OO
32	9	2	if	OO
33	10	2	he	NN
34	11	2	lifted	VB
35	12	2	his	JJ
36	13	2	head	NN
37	14	2	a	OO
38	15	2	little	JJ
39	16	2	he	NN
40	17	2	could	VB
41	18	2	see	VB
42	19	2	his	JJ
43	20	2	brown	JJ
44	21	2	belly	NN
45	22	2	,	OO
46	23	2	slightly	RB
47	24	2	domed	JJ
48	25	2	and	OO
49	26	2	divided	VB
50	27	2	by	OO
51	28	2	arches	NN
52	29	2	into	OO
53	30	2	stiff	JJ
54	31	2	sections	NN
55	32	2	.	OO
56	1	3	The	OO
57	2	3	bedding	NN
58	3	3	was	VB
59	4	3	hardly	RB
60	5	3	able	JJ
61	6	3	to	OO
62	7	3	cover	VB
63	8	3	it	NN
64	9	3	and	OO
65	10	3	seemed	VB
66	11	3	ready	JJ
67	12	3	to	OO
68	13	3	slide	VB
69	14	3	off	OO
70	15	3	any	OO
71	16	3	moment	NN
72	17	3	.	OO
73	1	4	His	JJ
74	2	4	many	JJ
75	3	4	legs	NN
76	4	4	,	OO
77	5	4	pitifully	RB
78	6	4	thin	JJ
79	7	4	compared	VB
80	8	4	with	OO
81	9	4	the	OO
82	10	4	size	NN
83	11	4	of	OO
84	12	4	the	OO
85	13	4	rest	NN
86	14	4	of	OO
87	15	4	him	NN
88	16	4	,	OO
89	17	4	waved	VB
90	18	4	about	OO
91	19	4	helplessly	RB
92	20	4	as	OO
93	21	4	he	NN
94	22	4	looked	VB
95	23	4	.	OO
96	1	5	"	OO
97	2	5	What	NN
98	3	5	's	VB
99	4	5	happened	VB
100	5	5	to	OO
101	6	5	me	NN
102	7	5	?	OO
103	8	5	"	OO
104	9	5	he	NN
105	10	5	thought	VB
106	11	5	.	OO
107	1	6	It	NN
108	2	6	was	VB
109	3	6	n't	RB
110	4	6	a	OO
111	5	6	dream	NN
112	6	6	.	OO
113	1	7	His	JJ
114	2	7	room	NN
115	3	7	,	OO
116	4	7	a	OO
117	5	7	proper	JJ
118	6	7	human	NN
119	7	7	room	NN
120	8	7	although	OO
121	9	7	a	OO
122	10	7	little	RB
123	11	7	too	RB
124	12	7	small	JJ
125	13	7	,	OO
126	14	7	lay	VB
127	15	7	peacefully	RB
128	16	7	between	OO
129	17	7	its	JJ
130	18	7	four	OO
131	19	7	familiar	JJ
132	20	7	walls	NN
133	21	7	.	OO
134	1	8	A	OO
135	2	8	collection	NN
136	3	8	of	OO
137	4	8	textile	JJ
138	5	8	samples	NN
139	6	8	lay	VB
140	7	8	spread	VB
141	8	8	out	RB
142	9	8	on	OO
143	10	8	the	OO
144	11	8	table	NN
145	12	8	-	OO
146	13	8	Samsa	NN
147	14	8	was	VB
148	15	8	a	OO
149	16	8	travelling	NN
150	17	8	salesman	NN
151	18	8	-	OO
152	19	8	and	OO
153	20	8	above	OO
154	21	8	it	NN
155	22	8	there	OO
156	23	8	hung	VB
157	24	8	a	OO
158	25	8	picture	NN
159	26	8	that	OO
160	27	8	he	NN
161	28	8	had	VB
162	29	8	recently	RB
163	30	8	cut	VB
164	31	8	out	OO
165	32	8	of	OO
166	33	8	an	OO
167	34	8	illustrated	JJ
168	35	8	magazine	NN
169	36	8	and	OO
170	37	8	housed	VB
171	38	8	in	OO
172	39	8	a	OO
173	40	8	nice	JJ
174	41	8	,	OO
175	42	8	gilded	JJ
176	43	8	frame	NN
177	44	8	.	OO
178	1	9	It	NN
179	2	9	showed	VB
180	3	9	a	OO
181	4	9	lady	NN
182	5	9	fitted	VB
183	6	9	out	OO
184	7	9	with	OO
185	8	9	a	OO
186	9	9	fur	NN
187	10	9	hat	NN
188	11	9	and	OO
189	12	9	fur	NN
190	13	9	boa	NN
191	14	9	who	NN
192	15	9	sat	VB
193	16	9	upright	RB
194	17	9	,	OO
195	18	9	raising	VB
196	19	9	a	OO
197	20	9	heavy	JJ
198	21	9	fur	NN
199	22	9	muff	NN
200	23	9	that	OO
201	24	9	covered	VB
202	25	9	the	OO
203	26	9	whole	NN
204	27	9	of	OO
205	28	9	her	JJ
206	29	9	lower	JJ
207	30	9	arm	NN
208	31	9	towards	OO
209	32	9	the	OO
210	33	9	viewer	NN
211	34	9	.	OO
212	1	10	Gregor	NN
213	2	10	then	RB
214	3	10	turned	VB
215	4	10	to	OO
216	5	10	look	VB
217	6	10	out	OO
218	7	10	the	OO
219	8	10	window	NN
220	9	10	at	OO
221	10	10	the	OO
222	11	10	dull	JJ
223	12	10	weather	NN
224	13	10	.	OO
225	1	11	Drops	NN
226	2	11	of	OO
227	3	11	rain	NN
228	4	11	could	VB
229	5	11	be	VB
230	6	11	heard	VB
231	7	11	hitting	VB
232	8	11	the	OO
233	9	11	pane	NN
234	10	11	,	OO
235	11	11	which	OO
236	12	11	made	VB
237	13	11	him	NN
238	14	11	feel	VB
239	15	11	quite	RB
240	16	11	sad	JJ
241	17	11	.	OO
242	1	12	"	OO
243	2	12	How	RB
244	3	12	about	OO
245	4	12	if	OO
246	5	12	I	NN
247	6	12	sleep	VB
248	7	12	a	OO
249	8	12	little	JJ
250	9	12	bit	NN
251	10	12	longer	RB
252	11	12	and	OO
253	12	12	forget	VB
254	13	12	all	OO
255	14	12	this	OO
256	15	12	nonsense"	NN
257	16	12	,	OO
258	17	12	he	NN
259	18	12	thought	VB
260	19	12	,	OO
261	20	12	but	OO
262	21	12	that	OO
263	22	12	was	VB
264	23	12	something	NN
265	24	12	he	NN
266	25	12	was	VB
267	26	12	unable	JJ
268	27	12	to	OO
269	28	12	do	VB
270	29	12	because	OO
271	30	12	he	NN
272	31	12	was	VB
273	32	12	used	VB
274	33	12	to	OO
275	34	12	sleeping	VB
276	35	12	on	OO
277	36	12	his	JJ
278	37	12	right	NN
279	38	12	,	OO
280	39	12	and	OO
281	40	12	in	OO
282	41	12	his	JJ
283	42	12	present	JJ
284	43	12	state	NN
285	44	12	could	VB
286	45	12	n't	RB
287	46	12	get	VB
288	47	12	into	OO
289	48	12	that	OO
290	49	12	position	NN
291	50	12	.	OO
292	1	13	However	RB
293	2	13	hard	RB
294	3	13	he	NN
295	4	13	threw	VB
296	5	13	himself	NN
297	6	13	onto	OO
298	7	13	his	JJ
299	8	13	right	NN
300	9	13	,	OO
301	10	13	he	NN
302	11	13	always	RB
303	12	13	rolled	VB
304	13	13	back	RB
305	14	13	to	OO
306	15	13	where	RB
307	16	13	he	NN
308	17	13	was	VB
309	18	13	.	OO
310	1	14	He	NN
311	2	14	must	VB
312	3	14	have	VB
313	4	14	tried	VB
314	5	14	it	NN
315	6	14	a	OO
316	7	14	hundred	OO
317	8	14	times	NN
318	9	14	,	OO
319	10	14	shut	VB
320	11	14	his	JJ
321	12	14	eyes	NN
322	13	14	so	OO
323	14	14	that	OO
324	15	14	he	NN
