indexInText	indexInSentence	sentenceNumber	startingChar	endingChar	token	posTag
1	1	1	1	10	﻿Recently	RB
2	2	1	11	14	the	OO
3	3	1	15	20	proof	NN
4	4	1	21	23	of	OO
5	5	1	24	37	factorization	NN
6	6	1	38	40	in	OO
7	7	1	41	46	heavy	JJ
8	8	1	47	57	quarkonium	NN
9	9	1	58	68	production	NN
10	10	1	69	71	in	OO
11	11	1	72	77	NRQCD	NN
12	12	1	78	83	color	NN
13	13	1	84	89	octet	NN
14	14	1	90	99	mechanism	NN
15	15	1	100	102	is	VB
16	16	1	103	108	given	VB
17	17	1	109	111	at	OO
18	18	1	112	135	next-to-next-to-leading	JJ
19	19	1	136	141	order	NN
20	20	1	142	143	(	OO
21	21	1	143	147	NNLO	NN
22	22	1	147	148	)	OO
23	23	1	149	151	in	OO
24	24	1	152	160	coupling	VB
25	25	1	161	169	constant	JJ
26	26	1	170	172	by	OO
27	27	1	173	178	using	VB
28	28	1	179	191	diagrammatic	JJ
29	29	1	192	198	method	NN
30	30	1	199	201	of	OO
31	31	1	202	206	QCD.	NN
32	1	2	1	3	In	OO
33	2	2	4	8	this	OO
34	3	2	9	14	paper	NN
35	4	2	15	17	we	NN
36	5	2	18	23	prove	VB
37	6	2	24	37	factorization	NN
38	7	2	38	40	in	OO
39	8	2	41	46	heavy	JJ
40	9	2	47	57	quarkonium	NN
41	10	2	58	68	production	NN
42	11	2	69	71	in	OO
43	12	2	72	77	NRQCD	NN
44	13	2	78	83	color	NN
45	14	2	84	89	octet	NN
46	15	2	90	99	mechanism	NN
47	16	2	100	102	at	OO
48	17	2	103	106	all	OO
49	18	2	107	112	order	NN
50	19	2	113	115	in	OO
51	20	2	116	124	coupling	VB
52	21	2	125	133	constant	JJ
53	22	2	134	136	by	OO
54	23	2	137	142	using	VB
55	24	2	143	147	path	NN
56	25	2	148	156	integral	JJ
57	26	2	157	163	method	NN
58	27	2	164	166	of	OO
59	28	2	167	171	QCD.	NN
60	1	3	1	4	Our	JJ
61	2	3	5	10	proof	NN
62	3	3	11	13	is	VB
63	4	3	14	19	valid	JJ
64	5	3	20	22	to	OO
65	6	3	23	26	all	OO
66	7	3	27	33	powers	NN
67	8	3	34	36	in	OO
68	9	3	37	40	the	OO
69	10	3	41	46	heavy	JJ
70	11	3	47	52	quark	NN
71	12	3	53	61	relative	JJ
72	13	3	62	70	velocity	NN
73	14	3	70	71	.	OO
74	1	4	1	3	We	NN
75	2	4	4	8	find	VB
76	3	4	9	13	that	OO
77	4	4	14	17	the	OO
78	5	4	18	23	gauge	NN
79	6	4	24	34	invariance	NN
80	7	4	35	38	and	OO
81	8	4	39	42	the	OO
82	9	4	43	56	factorization	NN
83	10	4	57	59	at	OO
84	11	4	60	63	all	OO
85	12	4	64	69	order	NN
86	13	4	70	72	in	OO
87	14	4	73	81	coupling	NN
88	15	4	82	90	constant	JJ
89	16	4	91	98	require	VB
90	17	4	99	114	gauge-completed	JJ
91	18	4	115	131	non-perturbative	JJ
92	19	4	132	137	NRQCD	NN
93	20	4	138	144	matrix	NN
94	21	4	145	153	elements	NN
95	22	4	154	158	that	OO
96	23	4	159	163	were	VB
97	24	4	164	174	introduced	VB
98	25	4	175	185	previously	RB
99	26	4	186	188	to	OO
100	27	4	189	194	prove	VB
101	28	4	195	208	factorization	NN
102	29	4	209	211	at	OO
103	30	4	212	216	NNLO	NN
104	31	4	216	217	.	OO
105	32	4	218	230	INTRODUCTION	NN
106	33	4	231	233	In	OO
107	34	4	234	237	the	OO
108	35	4	238	242	last	JJ
109	36	4	243	246	two	OO
110	37	4	247	254	decades	NN
111	38	4	254	255	,	OO
112	39	4	256	259	the	OO
113	40	4	260	265	NRQCD	NN
114	41	4	266	271	color	NN
115	42	4	272	277	octet	NN
116	43	4	278	287	mechanism	NN
117	44	4	288	290	[1	OO
118	45	4	290	291	]	NN
119	46	4	292	295	for	OO
120	47	4	296	301	heavy	JJ
121	48	4	302	312	quarkonium	NN
122	49	4	313	323	production	NN
123	50	4	324	327	has	VB
124	51	4	328	332	been	VB
125	52	4	333	337	very	RB
126	53	4	338	348	successful	JJ
127	54	4	349	351	in	OO
128	55	4	352	362	explaining	VB
129	56	4	363	375	experimental	JJ
130	57	4	376	380	data	NN
131	58	4	381	383	at	OO
132	59	4	384	388	high	JJ
133	60	4	389	395	energy	NN
134	61	4	396	405	colliders	NN
135	62	4	406	410	such	JJ
136	63	4	411	413	as	OO
137	64	4	414	416	at	OO
138	65	4	417	425	Tevatron	NN
139	66	4	426	428	[2	OO
140	67	4	428	429	]	OO
141	68	4	430	433	and	OO
142	69	4	434	436	at	OO
143	70	4	437	440	LHC	NN
144	71	4	441	444	[3]	NN
145	72	4	444	445	.	OO
146	1	5	1	3	In	OO
147	2	5	4	7	its	JJ
148	3	5	8	16	original	JJ
149	4	5	17	28	formulation	NN
150	5	5	29	31	[1	OO
151	6	5	31	32	]	OO
152	7	5	33	36	the	OO
153	8	5	37	42	proof	NN
154	9	5	43	45	of	OO
155	10	5	46	59	factorization	NN
156	11	5	60	62	in	OO
157	12	5	63	68	heavy	JJ
158	13	5	69	79	quarkonium	NN
159	14	5	80	90	production	NN
160	15	5	91	93	in	OO
161	16	5	94	99	NRQCD	NN
162	17	5	100	105	color	NN
163	18	5	106	111	octet	NN
164	19	5	112	121	mechanism	NN
165	20	5	122	125	was	VB
166	21	5	126	133	lacking	VB
167	22	5	133	134	.	OO
168	1	6	1	4	The	OO
169	2	6	5	10	proof	NN
170	3	6	11	13	of	OO
171	4	6	14	27	factorization	NN
172	5	6	28	30	is	VB
173	6	6	31	33	an	OO
174	7	6	34	43	essential	JJ
175	8	6	44	55	requirement	NN
176	9	6	56	58	to	OO
177	10	6	59	64	study	VB
178	11	6	65	70	heavy	JJ
179	12	6	71	81	quarkonium	NN
180	13	6	82	92	production	NN
181	14	6	93	95	at	OO
182	15	6	96	100	high	JJ
183	16	6	101	107	energy	NN
184	17	6	108	117	colliders	NN
185	18	6	117	118	.	OO
186	1	7	1	14	Factorization	NN
187	2	7	15	21	refers	VB
188	3	7	22	24	to	OO
189	4	7	25	35	separation	NN
190	5	7	36	38	of	OO
191	6	7	39	53	short-distance	JJ
192	7	7	54	61	effects	NN
193	8	7	62	66	from	OO
194	9	7	67	80	long-distance	JJ
195	10	7	81	88	effects	NN
196	11	7	89	91	in	OO
197	12	7	92	99	quantum	NN
198	13	7	100	105	field	NN
199	14	7	106	112	theory	NN
200	15	7	112	113	.	OO
201	1	8	1	9	Recently	RB
202	2	8	10	13	the	OO
203	3	8	14	19	proof	NN
204	4	8	20	22	of	OO
205	5	8	23	36	factorization	NN
206	6	8	37	39	in	OO
207	7	8	40	45	heavy	JJ
208	8	8	46	56	quarkonium	NN
209	9	8	57	67	production	NN
210	10	8	68	70	in	OO
211	11	8	71	76	NRQCD	NN
212	12	8	77	82	color	NN
213	13	8	83	88	octet	NN
214	14	8	89	98	mechanism	NN
215	15	8	99	101	is	VB
216	16	8	102	107	given	VB
217	17	8	108	110	at	OO
218	18	8	111	123	next-to-next	JJ
219	19	8	124	126	to	OO
220	20	8	127	134	leading	VB
221	21	8	135	140	order	NN
222	22	8	141	142	(	OO
223	23	8	142	146	NLLO	NN
224	24	8	146	147	)	OO
225	25	8	148	150	in	OO
226	26	8	151	159	coupling	VB
227	27	8	160	168	constant	JJ
228	28	8	169	171	by	OO
229	29	8	172	177	using	VB
230	30	8	178	190	diagrammatic	JJ
231	31	8	191	197	method	NN
232	32	8	198	200	of	OO
233	33	8	201	204	QCD	NN
234	34	8	205	208	[4]	NN
235	35	8	208	209	.	OO
236	1	9	1	8	However	RB
237	2	9	8	9	,	OO
238	3	9	10	13	the	OO
239	4	9	14	19	proof	NN
240	5	9	20	22	of	OO
241	6	9	23	36	factorization	NN
242	7	9	37	39	in	OO
243	8	9	40	45	heavy	JJ
244	9	9	46	56	quarkonium	NN
245	10	9	57	67	production	NN
246	11	9	68	70	in	OO
247	12	9	71	76	NRQCD	NN
248	13	9	77	82	color	NN
249	14	9	83	88	octet	NN
250	15	9	89	98	mechanism	NN
251	16	9	99	101	at	OO
252	17	9	102	105	all	OO
253	18	9	106	111	order	NN
254	19	9	112	114	in	OO
255	20	9	115	123	coupling	VB
256	21	9	124	132	constant	JJ
257	22	9	133	135	is	VB
258	23	9	136	141	still	RB
259	24	9	142	149	missing	VB
260	25	9	149	150	.	OO
261	1	10	1	3	In	OO
262	2	10	4	8	this	OO
263	3	10	9	14	paper	NN
264	4	10	15	17	we	NN
265	5	10	18	22	will	VB
266	6	10	23	28	prove	VB
267	7	10	29	42	factorization	NN
268	8	10	43	45	in	OO
269	9	10	46	51	heavy	JJ
270	10	10	52	62	quarkonium	NN
271	11	10	63	73	production	NN
272	12	10	74	76	in	OO
273	13	10	77	82	NRQCD	NN
274	14	10	83	88	color	NN
275	15	10	89	94	octet	NN
276	16	10	95	104	mechanism	NN
277	17	10	105	107	at	OO
278	18	10	108	111	all	OO
279	19	10	112	117	order	NN
280	20	10	118	120	in	OO
281	21	10	121	129	coupling	VB
282	22	10	130	138	constant	JJ
283	23	10	139	141	by	OO
284	24	10	142	147	using	VB
285	25	10	148	152	path	NN
286	26	10	153	161	integral	JJ
287	27	10	162	168	method	NN
288	28	10	169	171	of	OO
289	29	10	172	176	QCD.	NN
290	1	11	1	4	The	OO
291	2	11	5	12	typical	JJ
292	3	11	13	29	non-perturbative	JJ
293	4	11	30	35	NRQCD	NN
294	5	11	36	42	matrix	NN
295	6	11	43	50	element	NN
