indexInText	indexInSentence	sentenceNumber	startingChar	endingChar	token	posTag
1	1	1	1	5	﻿One	JJ
2	2	1	6	13	morning	NN
3	3	1	13	14	,	OO
4	4	1	15	19	when	RB
5	5	1	20	26	Gregor	NN
6	6	1	27	32	Samsa	NN
7	7	1	33	37	woke	VB
8	8	1	38	42	from	OO
9	9	1	43	51	troubled	JJ
10	10	1	52	58	dreams	NN
11	11	1	58	59	,	OO
12	12	1	60	62	he	NN
13	13	1	63	68	found	VB
14	14	1	69	76	himself	NN
15	15	1	77	88	transformed	VB
16	16	1	89	91	in	OO
17	17	1	92	95	his	JJ
18	18	1	96	99	bed	NN
19	19	1	100	104	into	OO
20	20	1	105	106	a	OO
21	21	1	107	115	horrible	JJ
22	22	1	116	122	vermin	NN
23	23	1	122	123	.	OO
24	1	2	1	3	He	NN
25	2	2	4	7	lay	VB
26	3	2	8	10	on	OO
27	4	2	11	14	his	JJ
28	5	2	15	26	armour-like	JJ
29	6	2	27	31	back	NN
30	7	2	31	32	,	OO
31	8	2	33	36	and	OO
32	9	2	37	39	if	OO
33	10	2	40	42	he	NN
34	11	2	43	49	lifted	VB
35	12	2	50	53	his	JJ
36	13	2	54	58	head	NN
37	14	2	59	60	a	OO
38	15	2	61	67	little	JJ
39	16	2	68	70	he	NN
40	17	2	71	76	could	VB
41	18	2	77	80	see	VB
42	19	2	81	84	his	JJ
43	20	2	85	90	brown	JJ
44	21	2	91	96	belly	NN
45	22	2	96	97	,	OO
46	23	2	98	106	slightly	RB
47	24	2	107	112	domed	JJ
48	25	2	113	116	and	OO
49	26	2	117	124	divided	VB
50	27	2	125	127	by	OO
51	28	2	128	134	arches	NN
52	29	2	135	139	into	OO
53	30	2	140	145	stiff	JJ
54	31	2	146	154	sections	NN
55	32	2	154	155	.	OO
56	1	3	1	4	The	OO
57	2	3	5	12	bedding	NN
58	3	3	13	16	was	VB
59	4	3	17	23	hardly	RB
60	5	3	24	28	able	JJ
61	6	3	29	31	to	OO
62	7	3	32	37	cover	VB
63	8	3	38	40	it	NN
64	9	3	41	44	and	OO
65	10	3	45	51	seemed	VB
66	11	3	52	57	ready	JJ
67	12	3	58	60	to	OO
68	13	3	61	66	slide	VB
69	14	3	67	70	off	OO
70	15	3	71	74	any	OO
71	16	3	75	81	moment	NN
72	17	3	81	82	.	OO
73	1	4	1	4	His	JJ
74	2	4	5	9	many	JJ
75	3	4	10	14	legs	NN
76	4	4	14	15	,	OO
77	5	4	16	25	pitifully	RB
78	6	4	26	30	thin	JJ
79	7	4	31	39	compared	VB
80	8	4	40	44	with	OO
81	9	4	45	48	the	OO
82	10	4	49	53	size	NN
83	11	4	54	56	of	OO
84	12	4	57	60	the	OO
85	13	4	61	65	rest	NN
86	14	4	66	68	of	OO
87	15	4	69	72	him	NN
88	16	4	72	73	,	OO
89	17	4	74	79	waved	VB
90	18	4	80	85	about	OO
91	19	4	86	96	helplessly	RB
92	20	4	97	99	as	OO
93	21	4	100	102	he	NN
94	22	4	103	109	looked	VB
95	23	4	109	110	.	OO
96	1	5	1	2	"	OO
97	2	5	2	6	What	NN
98	3	5	6	8	's	VB
99	4	5	9	17	happened	VB
100	5	5	18	20	to	OO
101	6	5	21	23	me	NN
102	7	5	23	24	?	OO
103	8	5	24	25	"	OO
104	9	5	26	28	he	NN
105	10	5	29	36	thought	VB
106	11	5	36	37	.	OO
107	1	6	1	3	It	NN
108	2	6	4	7	was	VB
109	3	6	7	10	n't	RB
110	4	6	11	12	a	OO
111	5	6	13	18	dream	NN
112	6	6	18	19	.	OO
113	1	7	1	4	His	JJ
114	2	7	5	9	room	NN
115	3	7	9	10	,	OO
116	4	7	11	12	a	OO
117	5	7	13	19	proper	JJ
118	6	7	20	25	human	NN
119	7	7	26	30	room	NN
120	8	7	31	39	although	OO
121	9	7	40	41	a	OO
122	10	7	42	48	little	RB
123	11	7	49	52	too	RB
124	12	7	53	58	small	JJ
125	13	7	58	59	,	OO
126	14	7	60	63	lay	VB
127	15	7	64	74	peacefully	RB
128	16	7	75	82	between	OO
129	17	7	83	86	its	JJ
130	18	7	87	91	four	OO
131	19	7	92	100	familiar	JJ
132	20	7	101	106	walls	NN
133	21	7	106	107	.	OO
134	1	8	1	2	A	OO
135	2	8	3	13	collection	NN
136	3	8	14	16	of	OO
137	4	8	17	24	textile	JJ
138	5	8	25	32	samples	NN
139	6	8	33	36	lay	VB
140	7	8	37	43	spread	VB
141	8	8	44	47	out	RB
142	9	8	48	50	on	OO
143	10	8	51	54	the	OO
144	11	8	55	60	table	NN
145	12	8	61	62	-	OO
146	13	8	63	68	Samsa	NN
147	14	8	69	72	was	VB
148	15	8	73	74	a	OO
149	16	8	75	85	travelling	NN
150	17	8	86	94	salesman	NN
151	18	8	95	96	-	OO
152	19	8	97	100	and	OO
153	20	8	101	106	above	OO
154	21	8	107	109	it	NN
155	22	8	110	115	there	OO
156	23	8	116	120	hung	VB
157	24	8	121	122	a	OO
158	25	8	123	130	picture	NN
159	26	8	131	135	that	OO
160	27	8	136	138	he	NN
161	28	8	139	142	had	VB
162	29	8	143	151	recently	RB
163	30	8	152	155	cut	VB
164	31	8	156	159	out	OO
165	32	8	160	162	of	OO
166	33	8	163	165	an	OO
167	34	8	166	177	illustrated	JJ
168	35	8	178	186	magazine	NN
169	36	8	187	190	and	OO
170	37	8	191	197	housed	VB
171	38	8	198	200	in	OO
172	39	8	201	202	a	OO
173	40	8	203	207	nice	JJ
174	41	8	207	208	,	OO
175	42	8	209	215	gilded	JJ
176	43	8	216	221	frame	NN
177	44	8	221	222	.	OO
