indexInText	indexInSentence	sentenceNumber	startingChar	endingChar	token	posTag
1	1	1	1	5	﻿The	OO
2	2	1	6	14	European	JJ
3	3	1	15	24	insurance	NN
4	4	1	25	31	sector	NN
5	5	1	32	36	will	VB
6	6	1	37	41	soon	RB
7	7	1	42	44	be	VB
8	8	1	45	50	faced	VB
9	9	1	51	55	with	OO
10	10	1	56	59	the	OO
11	11	1	60	71	application	NN
12	12	1	72	74	of	OO
13	13	1	75	83	Solvency	NN
14	14	1	84	85	2	OO
15	15	1	86	96	regulation	NN
16	16	1	97	102	norms	NN
17	17	1	102	103	.	OO
18	1	2	1	3	It	NN
19	2	2	4	8	will	VB
20	3	2	9	15	create	VB
21	4	2	16	17	a	OO
22	5	2	18	22	real	JJ
23	6	2	23	29	change	NN
24	7	2	30	32	in	OO
25	8	2	33	37	risk	NN
26	9	2	38	48	management	NN
27	10	2	49	58	practices	NN
28	11	2	58	59	.	OO
29	1	3	1	4	The	OO
30	2	3	5	9	ORSA	NN
31	3	3	10	18	approach	NN
32	4	3	19	21	of	OO
33	5	3	22	25	the	OO
34	6	3	26	32	second	JJ
35	7	3	33	39	pillar	NN
36	8	3	40	45	makes	VB
37	9	3	46	49	the	OO
38	10	3	50	57	capital	NN
39	11	3	58	68	allocation	NN
40	12	3	69	71	an	OO
41	13	3	72	81	important	JJ
42	14	3	82	90	exercise	NN
43	15	3	91	94	for	OO
44	16	3	95	98	all	OO
45	17	3	99	107	insurers	NN
46	18	3	108	111	and	OO
47	19	3	112	121	specially	RB
48	20	3	122	125	for	OO
49	21	3	126	132	groups	NN
50	22	3	132	133	.	OO
51	1	4	1	12	Considering	VB
52	2	4	13	27	multi-branches	NN
53	3	4	28	33	firms	NN
54	4	4	33	34	,	OO
55	5	4	35	42	capital	NN
56	6	4	43	53	allocation	NN
57	7	4	54	57	has	VB
58	8	4	58	60	to	OO
59	9	4	61	63	be	VB
60	10	4	64	69	based	VB
61	11	4	70	72	on	OO
62	12	4	73	74	a	OO
63	13	4	75	87	multivariate	JJ
64	14	4	88	92	risk	NN
65	15	4	93	101	modeling	NN
66	16	4	101	102	.	OO
67	1	5	1	8	Several	JJ
68	2	5	9	19	allocation	NN
69	3	5	20	27	methods	NN
70	4	5	28	31	are	VB
71	5	5	32	39	present	JJ
72	6	5	40	42	in	OO
73	7	5	43	46	the	OO
74	8	5	47	57	literature	NN
75	9	5	58	61	and	OO
76	10	5	62	70	insurers	NN
77	11	5	71	80	practices	NN
78	12	5	80	81	.	OO
79	1	6	1	3	In	OO
80	2	6	4	8	this	OO
81	3	6	9	14	paper	NN
82	4	6	14	15	,	OO
83	5	6	16	18	we	NN
84	6	6	19	26	present	VB
85	7	6	27	28	a	OO
86	8	6	29	32	new	JJ
87	9	6	33	37	risk	NN
88	10	6	38	48	allocation	NN
89	11	6	49	55	method	NN
90	12	6	55	56	,	OO
91	13	6	57	59	we	NN
92	14	6	60	65	study	VB
93	15	6	66	69	its	JJ
94	16	6	70	79	coherence	NN
95	17	6	80	85	using	VB
96	18	6	86	88	an	OO
97	19	6	89	98	axiomatic	JJ
98	20	6	99	107	approach	NN
99	21	6	107	108	,	OO
100	22	6	109	112	and	OO
