indexInText	indexInSentence	sentenceNumber	startingChar	endingChar	token	posTag
1	1	1	1	7	WILLOW	NN
2	2	1	8	10	--	OO
3	3	1	11	20	Constance	NN
4	4	1	21	25	Walz	NN
5	5	1	26	33	stopped	VB
6	6	1	34	36	to	OO
7	7	1	37	42	watch	VB
8	8	1	43	44	a	OO
9	9	1	45	57	firefighting	NN
10	10	1	58	68	helicopter	NN
11	11	1	69	71	as	OO
12	12	1	72	75	she	NN
13	13	1	76	81	moved	VB
14	14	1	82	86	wood	NN
15	15	1	87	91	away	RB
16	16	1	92	96	from	OO
17	17	1	97	100	the	OO
18	18	1	101	110	converted	JJ
19	19	1	111	114	bus	NN
20	20	1	115	118	she	NN
21	21	1	119	125	shares	NN
22	22	1	126	130	with	OO
23	23	1	131	134	her	JJ
24	24	1	135	145	seven-toed	JJ
25	25	1	146	149	cat	NN
26	26	1	149	150	.	OO
27	1	2	1	5	Walz	NN
28	2	2	6	8	is	VB
29	3	2	9	13	part	NN
30	4	2	14	16	of	OO
31	5	2	17	18	a	OO
32	6	2	19	23	much	JJ
33	7	2	24	30	larger	JJ
34	8	2	31	38	brigade	NN
35	9	2	39	41	of	OO
36	10	2	42	48	Willow	NN
37	11	2	49	58	residents	NN
38	12	2	59	66	staying	VB
39	13	2	67	70	put	VB
40	14	2	71	78	instead	RB
41	15	2	79	81	of	OO
42	16	2	82	92	evacuating	VB
43	17	2	93	97	from	OO
44	18	2	98	101	the	OO
45	19	2	102	109	Sockeye	JJ
46	20	2	110	114	fire	NN
47	21	2	114	115	,	OO
48	22	2	116	118	an	OO
49	23	2	119	131	uncontrolled	JJ
50	24	2	132	140	wildland	NN
51	25	2	141	154	conflagration	NN
52	26	2	155	159	that	OO
53	27	2	159	161	’s	VB
54	28	2	162	164	so	RB
55	29	2	165	168	far	RB
56	30	2	169	178	destroyed	VB
57	31	2	179	181	50	OO
58	32	2	182	184	to	OO
59	33	2	185	188	100	OO
60	34	2	189	199	structures	NN
61	35	2	200	203	and	OO
62	36	2	204	210	burned	VB
63	37	2	211	217	across	OO
64	38	2	218	222	more	RB
65	39	2	223	227	than	OO
66	40	2	228	233	7,500	OO
67	41	2	234	239	acres	NN
68	42	2	240	245	since	OO
69	43	2	246	252	Sunday	NN
70	44	2	252	253	.	OO
71	1	3	1	6	“This	OO
72	2	3	7	9	is	VB
73	3	3	10	13	our	JJ
74	4	3	14	18	home	NN
75	5	3	18	19	,	OO
76	6	3	19	20	”	NN
77	7	3	21	24	she	NN
78	8	3	25	29	said	VB
79	9	3	30	37	Tuesday	NN
80	10	3	37	38	,	OO
81	11	3	39	47	standing	VB
82	12	3	48	50	in	OO
83	13	3	51	54	her	JJ
84	14	3	55	63	driveway	NN
85	15	3	64	71	wearing	VB
86	16	3	72	73	a	OO
87	17	3	74	84	sleeveless	JJ
88	18	3	85	91	blouse	NN
89	19	3	92	95	and	OO
90	20	3	96	105	open-toed	JJ
91	21	3	106	113	sandals	NN
92	22	3	113	114	.	OO
93	1	4	1	2	“	NN
94	2	4	2	7	Until	OO
95	3	4	8	10	it	NN
96	4	4	10	12	’s	VB
97	5	4	13	15	in	OO
98	6	4	16	18	my	JJ
99	7	4	19	27	backyard	NN
100	8	4	28	31	and	OO
101	9	4	32	36	that	OO
102	10	4	37	43	rubber	NN
