indexInText	indexInSentence	sentenceNumber	startingChar	endingChar	token	posTag
1	1	1	1	12	﻿WASHINGTON	NN
2	2	1	13	14	—	NN
3	3	1	15	18	The	OO
4	4	1	19	25	Senate	NN
5	5	1	26	30	will	VB
6	6	1	31	40	reconvene	VB
7	7	1	41	43	at	OO
8	8	1	44	50	midday	NN
9	9	1	51	53	on	OO
10	10	1	54	60	Monday	NN
11	11	1	61	63	to	OO
12	12	1	64	72	consider	VB
13	13	1	73	80	changes	NN
14	14	1	81	83	to	OO
15	15	1	84	85	a	OO
16	16	1	86	91	House	NN
17	17	1	92	96	bill	NN
18	18	1	97	101	that	OO
19	19	1	102	107	would	VB
20	20	1	108	115	curtail	VB
21	21	1	116	119	the	OO
22	22	1	120	132	government’s	NN
23	23	1	133	142	authority	NN
24	24	1	143	145	to	OO
25	25	1	146	151	sweep	VB
26	26	1	152	154	up	OO
27	27	1	155	159	vast	JJ
28	28	1	160	170	quantities	NN
29	29	1	171	173	of	OO
30	30	1	174	183	telephone	NN
31	31	1	184	191	records	NN
32	32	1	192	197	after	OO
33	33	1	198	201	the	OO
34	34	1	202	209	program	NN
35	35	1	209	210	,	OO
36	36	1	211	216	which	OO
37	37	1	217	222	began	VB
38	38	1	223	228	after	OO
39	39	1	229	232	the	OO
40	40	1	233	237	2001	OO
41	41	1	238	247	terrorist	JJ
42	42	1	248	255	attacks	NN
43	43	1	255	256	,	OO
44	44	1	257	264	expired	VB
45	45	1	265	267	at	OO
46	46	1	268	273	12:01	OO
47	47	1	274	278	a.m.	RB
48	1	2	1	8	Senator	NN
49	2	2	9	13	Rand	NN
50	3	2	14	18	Paul	NN
51	4	2	18	19	,	OO
52	5	2	20	30	Republican	NN
53	6	2	31	33	of	OO
54	7	2	34	42	Kentucky	NN
55	8	2	42	43	,	OO
56	9	2	44	51	blocked	VB
57	10	2	52	54	an	OO
58	11	2	55	64	extension	NN
59	12	2	65	67	of	OO
60	13	2	68	70	it	NN
61	14	2	71	77	during	OO
62	15	2	78	80	an	OO
63	16	2	81	94	extraordinary	JJ
64	17	2	95	98	and	OO
65	18	2	99	101	at	OO
66	19	2	102	107	times	NN
67	20	2	108	115	caustic	JJ
68	21	2	116	122	Sunday	NN
