indexInText	indexInSentence	sentenceNumber	token	posTag
1	1	1	The	OO
2	2	1	European	JJ
3	3	1	insurance	NN
4	4	1	sector	NN
5	5	1	will	VB
6	6	1	soon	RB
7	7	1	be	VB
8	8	1	faced	VB
9	9	1	with	OO
10	10	1	the	OO
11	11	1	application	NN
12	12	1	of	OO
13	13	1	Solvency	NN
14	14	1	2	OO
15	15	1	regulation	NN
16	16	1	norms	NN
17	17	1	.	OO
18	1	2	It	NN
19	2	2	will	VB
20	3	2	create	VB
21	4	2	a	OO
22	5	2	real	JJ
23	6	2	change	NN
24	7	2	in	OO
25	8	2	risk	NN
26	9	2	management	NN
27	10	2	practices	NN
28	11	2	.	OO
29	1	3	The	OO
30	2	3	ORSA	NN
31	3	3	approach	NN
32	4	3	of	OO
33	5	3	the	OO
34	6	3	second	JJ
35	7	3	pillar	NN
36	8	3	makes	VB
37	9	3	the	OO
38	10	3	capital	NN
39	11	3	allocation	NN
40	12	3	an	OO
41	13	3	important	JJ
42	14	3	exercise	NN
43	15	3	for	OO
44	16	3	all	OO
45	17	3	insurers	NN
46	18	3	and	OO
47	19	3	specially	RB
48	20	3	for	OO
49	21	3	groups	NN
50	22	3	.	OO
51	1	4	Considering	VB
52	2	4	multi-branches	NN
53	3	4	firms	NN
54	4	4	,	OO
55	5	4	capital	NN
56	6	4	allocation	NN
57	7	4	has	VB
58	8	4	to	OO
59	9	4	be	VB
60	10	4	based	VB
61	11	4	on	OO
62	12	4	a	OO
63	13	4	multivariate	JJ
64	14	4	risk	NN
65	15	4	modeling	NN
66	16	4	.	OO
67	1	5	Several	JJ
68	2	5	allocation	NN
69	3	5	methods	NN
70	4	5	are	VB
71	5	5	present	JJ
72	6	5	in	OO
73	7	5	the	OO
74	8	5	literature	NN
75	9	5	and	OO
76	10	5	insurers	NN
77	11	5	practices	NN
78	12	5	.	OO
79	1	6	In	OO
80	2	6	this	OO
81	3	6	paper	NN
82	4	6	,	OO
83	5	6	we	NN
84	6	6	present	VB
85	7	6	a	OO
86	8	6	new	JJ
87	9	6	risk	NN
88	10	6	allocation	NN
89	11	6	method	NN
90	12	6	,	OO
91	13	6	we	NN
92	14	6	study	VB
93	15	6	its	JJ
94	16	6	coherence	NN
95	17	6	using	VB
96	18	6	an	OO
97	19	6	axiomatic	JJ
98	20	6	approach	NN
99	21	6	,	OO
100	22	6	and	OO
101	23	6	we	NN
102	24	6	try	VB
103	25	6	to	OO
104	26	6	define	VB
105	27	6	what	NN
106	28	6	the	OO
107	29	6	best	JJ
108	30	6	allocation	NN
109	31	6	choice	NN
110	32	6	for	OO
111	33	6	an	OO
112	34	6	insurance	NN
113	35	6	group	NN
114	36	6	is	VB
115	37	6	.	OO
116	1	7	Introduction	NN
117	2	7	Solvency	NN
118	3	7	2	OO
119	4	7	standards	NN
120	5	7	will	VB
121	6	7	make	VB
122	7	7	a	OO
123	8	7	radical	JJ
124	9	7	change	NN
125	10	7	in	OO
126	11	7	risk	NN
127	12	7	management	NN
128	13	7	practices	NN
129	14	7	in	OO
130	15	7	the	OO
131	16	7	actuarial	JJ
132	17	7	sector	NN
133	18	7	.	OO
134	1	8	They	NN
135	2	8	are	VB
136	3	8	based	VB
137	4	8	on	OO
138	5	8	a	OO
139	6	8	strengthening	NN
140	7	8	of	OO
141	8	8	risk	NN
142	9	8	control	NN
143	10	8	and	OO
144	11	8	minimization	NN
145	12	8	of	OO
146	13	8	a	OO
147	14	8	ruin	VB
148	15	8	probability	NN
149	16	8	.	OO
150	1	9	The	OO
151	2	9	determination	NN
152	3	9	of	OO
153	4	9	the	OO
154	5	9	economic	JJ
155	6	9	regulatory	JJ
156	7	9	capital	NN
157	8	9	will	VB
158	9	9	be	VB
159	10	9	faced	VB
160	11	9	under	OO
161	12	9	this	OO
162	13	9	prudential	JJ
163	14	9	mechanism	NN
164	15	9	with	OO
165	16	9	a	OO
166	17	9	kind	NN
167	18	9	of	OO
168	19	9	methodological	JJ
169	20	9	revolution	NN
170	21	9	.	OO
171	1	10	A	OO
172	2	10	choices	NN
173	3	10	of	OO
174	4	10	a	OO
175	5	10	dependence	NN
176	6	10	model	NN
177	7	10	between	OO
178	8	10	different	JJ
179	9	10	risks	NN
180	10	10	and	OO
181	11	10	of	OO
182	12	10	an	OO
183	13	10	aggregation	NN
184	14	10	methodology	NN
185	15	10	are	VB
186	16	10	both	OO
187	17	10	required	VB
188	18	10	.	OO
189	1	11	In	OO
190	2	11	the	OO
191	3	11	prescribed	VB
192	4	11	Standard	NN
193	5	11	Formula	NN
194	6	11	,	OO
195	7	11	risks	VB
196	8	11	aggregation	NN
197	9	11	is	VB
198	10	11	done	VB
199	11	11	using	VB
200	12	11	correlation	NN
201	13	11	matrices	NN
202	14	11	that	OO
203	15	11	connect	VB
204	16	11	families	NN
205	17	11	and	OO
206	18	11	subfamilies	NN
207	19	11	of	OO
208	20	11	risks	NN
209	21	11	.	OO
210	1	12	Once	RB
211	2	12	the	OO
212	3	12	Solvency	NN
213	4	12	Capital	NN
214	5	12	Requirement	NN
215	6	12	(	OO
216	7	12	SCR	NN
217	8	12	)	OO
218	9	12	is	VB
219	10	12	calculated	VB
220	11	12	,	OO
221	12	12	its	JJ
222	13	12	allocation	NN
223	14	12	between	OO
224	15	12	the	OO
225	16	12	different	JJ
226	17	12	risky	JJ
227	18	12	activity	NN
228	19	12	branches	NN
229	20	12	becomes	VB
230	21	12	the	OO
231	22	12	new	JJ
232	23	12	operational	JJ
233	24	12	challenge	NN
234	25	12	.	OO
235	1	13	Capital	NN
236	2	13	allocation	NN
237	3	13	is	VB
238	4	13	an	OO
239	5	13	internal	JJ
240	6	13	exercise	NN
241	7	13	,	OO
242	8	13	certainly	RB
243	9	13	not	RB
244	10	13	controlled	VB
245	11	13	by	OO
246	12	13	the	OO
247	13	13	first	JJ
248	14	13	pillar	NN
249	15	13	of	OO
250	16	13	Solvency	NN
251	17	13	2	OO
252	18	13	,	OO
253	19	13	but	OO
254	20	13	it	NN
255	21	13	plays	VB
256	22	13	a	OO
257	23	13	crucial	JJ
258	24	13	role	NN
259	25	13	in	OO
260	26	13	determining	VB
261	27	13	performance	NN
262	28	13	of	OO
263	29	13	all	OO
264	30	13	the	OO
265	31	13	insurer	NN
266	32	13	activity	NN
267	33	13	.	OO
268	1	14	The	OO
269	2	14	case	NN
270	3	14	of	OO
271	4	14	insurance	NN
272	5	14	groups	NN
273	6	14	requires	VB
274	7	14	special	JJ
275	8	14	treatment	NN
276	9	14	in	OO
277	10	14	the	OO
278	11	14	context	NN
279	12	14	of	OO
280	13	14	the	OO
281	14	14	Own	NN
282	15	14	Risk	NN
283	16	14	and	OO
284	17	14	Solvency	NN
285	18	14	Assessment	NN
286	19	14	(	OO
287	20	14	ORSA	NN
288	21	14	)	OO
289	22	14	approach	NN
290	23	14	.	OO
291	1	15	In	OO
292	2	15	this	OO
293	3	15	context	NN
294	4	15	,	OO
295	5	15	a	OO
296	6	15	multivariate	JJ
297	7	15	analysis	NN
298	8	15	of	OO
299	9	15	risk	NN
300	10	15	seems	VB
301	11	15	relevant	JJ
302	12	15	.	OO
303	1	16	The	OO
304	2	16	issue	NN
305	3	16	of	OO
306	4	16	capital	NN
307	5	16	allocation	NN
308	6	16	in	OO
309	7	16	a	OO
310	8	16	multivariate	JJ
311	9	16	context	NN
312	10	16	arises	VB
313	11	16	from	OO
314	12	16	the	OO
315	13	16	presence	NN
316	14	16	of	OO
317	15	16	dependence	NN
