indexInText	indexInSentence	sentenceNumber	startingChar	endingChar	token	posTag
1	1	1	1	6	﻿Emma	NN
2	2	1	7	16	Woodhouse	NN
3	3	1	16	17	,	OO
4	4	1	18	26	handsome	JJ
5	5	1	26	27	,	OO
6	6	1	28	34	clever	JJ
7	7	1	34	35	,	OO
8	8	1	36	39	and	OO
9	9	1	40	44	rich	JJ
10	10	1	44	45	,	OO
11	11	1	46	50	with	OO
12	12	1	51	52	a	OO
13	13	1	53	64	comfortable	JJ
14	14	1	65	69	home	NN
15	15	1	70	73	and	OO
16	16	1	74	79	happy	JJ
17	17	1	80	91	disposition	NN
18	18	1	91	92	,	OO
19	19	1	93	99	seemed	VB
20	20	1	100	102	to	OO
21	21	1	103	108	unite	VB
22	22	1	109	113	some	OO
23	23	1	114	116	of	OO
24	24	1	117	120	the	OO
25	25	1	121	125	best	JJ
26	26	1	126	135	blessings	NN
27	27	1	136	138	of	OO
28	28	1	139	148	existence	NN
29	29	1	148	149	;	OO
30	30	1	150	153	and	OO
31	31	1	154	157	had	VB
32	32	1	158	163	lived	VB
33	33	1	164	170	nearly	RB
34	34	1	171	181	twenty-one	OO
35	35	1	182	187	years	NN
36	36	1	188	190	in	OO
37	37	1	191	194	the	OO
38	38	1	195	200	world	NN
39	39	1	201	205	with	OO
40	40	1	206	210	very	RB
41	41	1	211	217	little	JJ
42	42	1	218	220	to	OO
43	43	1	221	229	distress	NN
44	44	1	230	232	or	OO
45	45	1	233	236	vex	VB
46	46	1	237	240	her	NN
47	47	1	240	241	.	OO
48	1	2	1	4	She	NN
49	2	2	5	8	was	VB
50	3	2	9	12	the	OO
51	4	2	13	21	youngest	JJ
52	5	2	22	24	of	OO
53	6	2	25	28	the	OO
54	7	2	29	32	two	OO
55	8	2	33	42	daughters	NN
56	9	2	43	45	of	OO
57	10	2	46	47	a	OO
58	11	2	48	52	most	RB
59	12	2	53	65	affectionate	JJ
60	13	2	65	66	,	OO
61	14	2	67	76	indulgent	JJ
62	15	2	77	83	father	NN
63	16	2	83	84	;	OO
64	17	2	85	88	and	OO
65	18	2	89	92	had	VB
66	19	2	92	93	,	OO
67	20	2	94	96	in	OO
68	21	2	97	108	consequence	NN
69	22	2	109	111	of	OO
70	23	2	112	115	her	JJ
71	24	2	116	122	sister	NN
72	25	2	122	124	's	OO
73	26	2	125	133	marriage	NN
74	27	2	133	134	,	OO
75	28	2	135	139	been	VB
76	29	2	140	148	mistress	NN
77	30	2	149	151	of	OO
78	31	2	152	155	his	JJ
79	32	2	156	161	house	NN
80	33	2	162	166	from	OO
81	34	2	167	168	a	OO
82	35	2	169	173	very	RB
83	36	2	174	179	early	JJ
84	37	2	180	186	period	NN
85	38	2	186	187	.	OO
86	1	3	1	4	Her	JJ
87	2	3	5	11	mother	NN
88	3	3	12	15	had	VB
89	4	3	16	20	died	VB
90	5	3	21	24	too	RB
91	6	3	25	29	long	RB
92	7	3	30	33	ago	RB
93	8	3	34	37	for	OO
94	9	3	38	41	her	JJ
95	10	3	42	44	to	OO
96	11	3	45	49	have	VB
97	12	3	50	54	more	JJ
98	13	3	55	59	than	OO
99	14	3	60	62	an	OO
100	15	3	63	73	indistinct	JJ
101	16	3	74	85	remembrance	NN
102	17	3	86	88	of	OO
103	18	3	89	92	her	JJ
104	19	3	93	101	caresses	NN
105	20	3	101	102	;	OO
106	21	3	103	106	and	OO
107	22	3	107	110	her	JJ
108	23	3	111	116	place	NN
109	24	3	117	120	had	VB
110	25	3	121	125	been	VB
111	26	3	126	134	supplied	VB
112	27	3	135	137	by	OO
113	28	3	138	140	an	OO
114	29	3	141	150	excellent	JJ
115	30	3	151	156	woman	NN
116	31	3	157	159	as	OO
117	32	3	160	169	governess	NN
118	33	3	169	170	,	OO
119	34	3	171	174	who	NN
120	35	3	175	178	had	VB
121	36	3	179	185	fallen	VB
122	37	3	186	192	little	JJ
123	38	3	193	198	short	JJ
124	39	3	199	201	of	OO
125	40	3	202	203	a	OO
126	41	3	204	210	mother	NN
127	42	3	211	213	in	OO
128	43	3	214	223	affection	NN
129	44	3	223	224	.	OO
130	1	4	1	8	Sixteen	OO
131	2	4	9	14	years	NN
132	3	4	15	18	had	VB
133	4	4	19	23	Miss	NN
134	5	4	24	30	Taylor	NN
135	6	4	31	35	been	VB
136	7	4	36	38	in	OO
137	8	4	39	42	Mr.	NN
138	9	4	43	52	Woodhouse	NN
139	10	4	52	54	's	OO
140	11	4	55	61	family	NN
141	12	4	61	62	,	OO
142	13	4	63	67	less	JJ
143	14	4	68	70	as	OO
144	15	4	71	72	a	OO
145	16	4	73	82	governess	NN
146	17	4	83	87	than	OO
147	18	4	88	89	a	OO
148	19	4	90	96	friend	NN
149	20	4	96	97	,	OO
150	21	4	98	102	very	RB
151	22	4	103	107	fond	JJ
152	23	4	108	110	of	OO
153	24	4	111	115	both	OO
154	25	4	116	125	daughters	NN
155	26	4	125	126	,	OO
156	27	4	127	130	but	OO
157	28	4	131	143	particularly	RB
158	29	4	144	146	of	OO
159	30	4	147	151	Emma	NN
160	31	4	151	152	.	OO
161	1	5	1	8	Between	OO
162	2	5	9	14	_them	NN
163	3	5	14	15	_	VB
164	4	5	16	18	it	NN
165	5	5	19	22	was	VB
166	6	5	23	27	more	RB
167	7	5	28	31	the	OO
168	8	5	32	40	intimacy	NN
169	9	5	41	43	of	OO
170	10	5	44	51	sisters	NN
171	11	5	51	52	.	OO
172	1	6	1	5	Even	RB
173	2	6	6	12	before	OO
174	3	6	13	17	Miss	NN
175	4	6	18	24	Taylor	NN
176	5	6	25	28	had	VB
